epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,147.006,0.78343,0.66464,1.12627,0.99535,1,0.995,0.53354,1.7164,0.9432,2.03612,0.0012278,0.0012278,0.0012278
41,150.585,0.83144,0.70818,1.15114,0.99461,1,0.995,0.47409,1.86949,1.07918,2.12927,0.001208,0.001208,0.001208
42,154.134,0.89893,0.7811,1.28048,0.99023,1,0.995,0.44935,1.77977,1.24088,2.00895,0.0011882,0.0011882,0.0011882
43,157.7,0.8154,0.67026,1.1336,0.9872,1,0.995,0.52362,1.5283,1.03261,1.74028,0.0011684,0.0011684,0.0011684
44,161.284,0.84705,0.65072,1.1296,0.99366,1,0.995,0.60766,1.27631,0.90666,1.4763,0.0011486,0.0011486,0.0011486
45,164.842,0.84322,0.71455,1.13137,0.99406,1,0.995,0.70839,1.05636,0.86698,1.34228,0.0011288,0.0011288,0.0011288
46,168.449,0.77463,0.64351,1.08955,0.99406,1,0.995,0.70839,1.05636,0.86698,1.34228,0.001109,0.001109,0.001109
47,172.051,0.78815,0.64878,1.14649,0.99549,1,0.995,0.78062,0.90318,0.70509,1.19103,0.0010892,0.0010892,0.0010892
48,175.685,0.78074,0.66925,1.13308,0.9954,1,0.995,0.66443,1.13177,0.78186,1.38111,0.0010694,0.0010694,0.0010694
49,179.248,0.75907,0.63692,1.10163,0.99249,1,0.995,0.63209,1.4188,1.03463,1.60701,0.0010496,0.0010496,0.0010496
50,182.831,0.76319,0.63822,1.11868,0.98585,1,0.995,0.54499,1.68125,1.14082,1.80579,0.0010298,0.0010298,0.0010298
51,186.448,0.73945,0.60291,1.10307,0.98487,1,0.995,0.57284,1.59369,1.04888,1.7375,0.00101,0.00101,0.00101
52,190.027,0.81951,0.62807,1.1934,0.98814,1,0.995,0.63939,1.4188,0.88719,1.53246,0.0009902,0.0009902,0.0009902
53,193.553,0.82678,0.66216,1.17841,0.99118,1,0.995,0.72243,1.10108,0.69866,1.27948,0.0009704,0.0009704,0.0009704
54,197.116,0.73817,0.60958,1.10731,0.99118,1,0.995,0.72243,1.10108,0.69866,1.27948,0.0009506,0.0009506,0.0009506
55,200.672,0.75577,0.62096,1.08647,0.99522,1,0.995,0.76086,0.87956,0.62821,1.1438,0.0009308,0.0009308,0.0009308
56,204.223,0.83937,0.63732,1.13455,0.99508,1,0.995,0.74331,1.05049,0.68156,1.25939,0.000911,0.000911,0.000911
57,207.789,0.8063,0.65447,1.14415,0.99505,1,0.995,0.72006,1.10575,0.68401,1.31163,0.0008912,0.0008912,0.0008912
58,211.33,0.71385,0.66914,1.09925,0.99453,1,0.995,0.73471,1.06408,0.69424,1.29794,0.0008714,0.0008714,0.0008714
59,214.87,0.7461,0.59593,1.14773,0.99502,1,0.995,0.70727,1.14456,0.69562,1.37344,0.0008516,0.0008516,0.0008516
60,218.51,0.7561,0.60163,1.10506,0.9953,1,0.995,0.59589,1.37864,0.75212,1.63527,0.0008318,0.0008318,0.0008318
61,222.057,0.68854,0.58396,1.053,0.99294,1,0.995,0.64293,1.39017,0.78019,1.5777,0.000812,0.000812,0.000812
62,225.643,0.71469,0.59296,1.10243,0.99294,1,0.995,0.64293,1.39017,0.78019,1.5777,0.0007922,0.0007922,0.0007922
63,229.217,0.77221,0.62127,1.14604,0.73639,1,0.94,0.57865,1.4623,1.12474,1.53176,0.0007724,0.0007724,0.0007724
64,232.766,0.65295,0.54094,1.06033,0.56711,0.91667,0.70675,0.40712,1.54986,1.75623,1.58659,0.0007526,0.0007526,0.0007526
65,236.351,0.71154,0.56155,1.08896,0.54217,0.75,0.61443,0.28979,1.59828,2.13318,1.67546,0.0007328,0.0007328,0.0007328
66,239.917,0.73771,0.57926,1.11303,0.94259,0.75,0.92614,0.53748,1.41728,1.45115,1.53109,0.000713,0.000713,0.000713
67,243.484,0.73119,0.57359,1.12425,0.99503,1,0.995,0.68752,1.19538,0.72389,1.40897,0.0006932,0.0006932,0.0006932
68,247.057,0.75824,0.6144,1.12684,0.99565,1,0.995,0.70882,1.22055,0.70742,1.40041,0.0006734,0.0006734,0.0006734
69,250.592,0.68839,0.53723,1.04363,0.99567,1,0.995,0.75019,0.99051,0.62234,1.22905,0.0006536,0.0006536,0.0006536
70,254.119,0.72579,0.55665,1.09141,0.99567,1,0.995,0.75019,0.99051,0.62234,1.22905,0.0006338,0.0006338,0.0006338
71,257.682,0.6691,0.53083,1.04644,0.99544,1,0.995,0.78118,0.87704,0.57839,1.18919,0.000614,0.000614,0.000614
72,261.252,0.69923,0.54023,1.09097,0.99568,1,0.995,0.72971,0.93884,0.58766,1.24397,0.0005942,0.0005942,0.0005942
73,264.811,0.7961,0.57692,1.15503,0.99583,1,0.995,0.72193,1.00198,0.61574,1.3157,0.0005744,0.0005744,0.0005744
74,268.403,0.68406,0.54902,1.05361,0.99558,1,0.995,0.72381,1.03429,0.62684,1.32406,0.0005546,0.0005546,0.0005546
75,271.976,0.65085,0.53513,1.0791,0.99547,1,0.995,0.69043,1.12392,0.65175,1.44272,0.0005348,0.0005348,0.0005348
76,275.544,0.62959,0.57387,1.07173,0.99576,1,0.995,0.64703,1.25812,0.66799,1.6187,0.000515,0.000515,0.000515
77,279.07,0.72852,0.55067,1.08938,0.99573,1,0.995,0.65242,1.2501,0.66866,1.62658,0.0004952,0.0004952,0.0004952
78,282.611,0.7357,0.55344,1.09994,0.99573,1,0.995,0.65242,1.2501,0.66866,1.62658,0.0004754,0.0004754,0.0004754
79,286.175,0.7029,0.54384,1.1425,0.99573,1,0.995,0.70851,1.12601,0.66001,1.46877,0.0004556,0.0004556,0.0004556
80,289.8,0.64698,0.51077,1.03972,0.9957,1,0.995,0.68427,1.10947,0.68718,1.39997,0.0004358,0.0004358,0.0004358
81,293.374,0.7139,0.54164,1.04938,0.9957,1,0.995,0.70674,1.08281,0.66517,1.35205,0.000416,0.000416,0.000416
82,296.91,0.69423,0.49828,1.0561,0.99578,1,0.995,0.73544,0.99493,0.64612,1.25621,0.0003962,0.0003962,0.0003962
83,300.476,0.65376,0.48362,1.04531,0.99571,1,0.995,0.76072,0.96633,0.61414,1.23975,0.0003764,0.0003764,0.0003764
84,304.019,0.59718,0.528,1.04414,0.99567,1,0.995,0.75798,0.98212,0.58469,1.26914,0.0003566,0.0003566,0.0003566
85,307.602,0.71576,0.55449,1.07852,0.99572,1,0.995,0.74577,1.04328,0.5781,1.32047,0.0003368,0.0003368,0.0003368
86,311.168,0.59497,0.47519,1.04269,0.99572,1,0.995,0.74577,1.04328,0.5781,1.32047,0.000317,0.000317,0.000317
87,314.763,0.66418,0.50016,1.07219,0.99572,1,0.995,0.75157,1.07936,0.59724,1.35,0.0002972,0.0002972,0.0002972
88,318.36,0.69063,0.52509,1.10679,0.99573,1,0.995,0.74844,1.05841,0.58984,1.33408,0.0002774,0.0002774,0.0002774
89,321.945,0.73997,0.59285,1.10651,0.99569,1,0.995,0.74523,1.02684,0.56201,1.31037,0.0002576,0.0002576,0.0002576
90,325.55,0.61825,0.48519,1.06004,0.99557,1,0.995,0.75126,0.98667,0.54851,1.27113,0.0002378,0.0002378,0.0002378
91,329.078,0.51578,0.67766,0.99262,0.99558,1,0.995,0.77875,0.9582,0.54935,1.2277,0.000218,0.000218,0.000218
92,332.656,0.48089,0.65411,1.02052,0.99554,1,0.995,0.79097,0.94813,0.55492,1.21621,0.0001982,0.0001982,0.0001982
93,336.227,0.50783,0.60646,0.98915,0.99551,1,0.995,0.77892,0.96137,0.56237,1.22699,0.0001784,0.0001784,0.0001784
94,339.725,0.49794,0.64175,0.97647,0.99551,1,0.995,0.77892,0.96137,0.56237,1.22699,0.0001586,0.0001586,0.0001586
95,343.217,0.49564,0.60032,0.95946,0.99534,1,0.995,0.77892,0.97217,0.57153,1.23596,0.0001388,0.0001388,0.0001388
96,346.719,0.52436,0.60411,1.09212,0.99537,1,0.995,0.78227,0.98909,0.5774,1.2539,0.000119,0.000119,0.000119
97,350.237,0.48181,0.55255,0.99774,0.99542,1,0.995,0.7618,1.00493,0.5892,1.27117,9.92e-05,9.92e-05,9.92e-05
98,353.822,0.44991,0.63238,1.00425,0.99542,1,0.995,0.75972,1.01631,0.59731,1.2867,7.94e-05,7.94e-05,7.94e-05
99,357.374,0.46442,0.54094,0.95086,0.99549,1,0.995,0.76037,1.01825,0.59919,1.28929,5.96e-05,5.96e-05,5.96e-05
100,360.879,0.47699,0.57335,0.97305,0.99549,1,0.995,0.75635,1.01407,0.59768,1.28758,3.98e-05,3.98e-05,3.98e-05
